BCHAIN-ATRCT,BCHAIN-MWNUS,BCHAIN-DIFF,BCHAIN-MWNTD,BCHAIN-MWTRV,BCHAIN-AVBLS,BCHAIN-ETRAV,BCHAIN-BLCHS,BCHAIN-TOUTV,BCHAIN-NADDU,BCHAIN-NTRBL,BCHAIN-NTREP,BCHAIN-HRATE,BCHAIN-MIREV,BCHAIN-NTRAT,BCHAIN-CPTRA,BCHAIN-TRVOU,BCHAIN-CPTRV,BCHAIN-ETRVU,BCHAIN-TRFUS,BCHAIN-NTRAN,BCHAIN-TRFEE,BCHAIN-TOTBC,BCHAIN-MKTCP,BCHAIN-MKPRU
11.95,24141563,3.51106E+12,42166,48211.92764,0.638290516,136346.3922,163767.9838,1008501.798,399072,1138.186335,176030,28100258.45,13939111.67,309622210,76.92694432,307821267.9,1.49270802,944371471.2,157597.0262,183248,22.75353142,16972175,1.17554E+11,6926.266667
6.9,24125030,3.51106E+12,41272,48760.06298,0.683104451,119959.6632,163665.219,942151.233,414048,1136.676829,179058,28623865.75,13914521.92,309438962,75.47975089,315236593.3,1.72807126,814234811,156035.8458,186415,22.98846383,16970162.5,1.15186E+11,6787.571667
8.8,24112663,3.51106E+12,40077,41939.81599,0.738487776,114599.8006,163553.1899,1209298.055,384889,1201.108844,169378,25656757.72,12309914.75,309252547,70.57050325,753187037.3,1.622973222,767735388.2,150225.0159,176563,22.42407623,16968112.5,1.13674E+11,6699.273333
9.875,24096726,3.51106E+12,29423,28449.54021,0.431451764,78142.05671,163444.6322,731975.4306,311299,860.4658385,131197,28100258.45,14130051.7,309075984,103.0102612,326416047,2.602334042,548374125.2,147492.496,138535,21.01734283,16966275,1.19063E+11,7017.656667
9.35,24077180,3.51106E+12,36567,35378.68256,0.538825089,94399.59319,163375.1685,743828.474,331188,859.1055556,149177,31416438.02,15587298,308937449,102.0149688,182056053.4,2.412262085,653970929,188194.766,154639,27.16559493,16964262.5,1.17523E+11,6927.688
9.45,24066521,3.51106E+12,37889,36591.69781,0.824647616,107182.6304,163278.1799,1254753.795,471570,1252.818841,166690,24085935.81,11431310.51,308782810,67.2091819,462008926.1,1.641619894,707820872,228040.9999,172889,34.53138383,16962012.5,1.12015E+11,6603.876667
10.7,24052543,3.51106E+12,40207,52953.74716,0.646244718,112177.2291,163164.3786,1042336.944,398397,1165.589744,174618,27227579.62,13311694.5,308609921,74.12716669,609341543.7,1.760128104,765778976.1,166996.4743,181832,24.46293557,16960287.5,1.1578E+11,6826.51
11.375,24033284,3.51106E+12,41346,48083.18384,0.72334634,110471.8404,163063.5644,1419479.595,432977,1263.333333,178512,25656757.72,12472512.06,308428089,68.06837261,678823367.2,1.685786158,749856523.3,168465.414,185710,24.81899369,16958337.5,1.15109E+11,6787.761667
11.45,24019181,3.51106E+12,44651,43934.97439,0.675785785,133821.4811,162957.2325,1314862.308,435410,1220.361963,190546,28449329.98,15098761.31,308242379,76.84022313,750173781.6,1.541329002,991675387.2,186219.0332,198919,25.12929851,16956500,1.25655E+11,7410.435
6.85,24000284,3.51106E+12,37282,41744.12926,0.566611865,109735.6484,162847.0794,1456075.257,377673,1078.064103,161581,27227579.62,13719904.25,308043460,82.47463115,607508836.2,1.796492308,772083379.2,150514.2682,168178,21.39248333,16954462.5,1.19289E+11,7035.848333
6.616666667,23986750,3.49429E+12,27949,28392.69748,0.453174049,86133.15555,162758.688,840298.9303,316428,834.1296296,129732,28274794.22,13758062.63,307875282,102.7334705,722273399.9,2.372236095,585197702.8,124208.5057,135129,18.28180544,16952512.5,1.15177E+11,6794.105
13.675,23967625,3.46254E+12,32962,30249.58221,0.676326477,79395.44222,162685.2738,898889.5633,332752,1161.070313,143012,22031861.23,11096768,307740153,75.60369357,754226245.4,2.040513197,550645501.6,139226.128,148617,20.07447617,16950487.5,1.1756E+11,6935.48
7.166666667,23952849,3.46254E+12,38870,59230.38974,0.625428123,177530.3385,162598.704,1280581.959,449629,1147.777778,176008,27884074.37,13937126.63,307591536,75.90864138,1352337905,1.155162935,1221858177,177326.1523,185940,25.7646693,16948887.5,1.16651E+11,6882.531667
